id,name,local_name,cuisine_type,course,community,description,ingredients,ingredient_names,instructions,serving_suggestion,alternative_cooking,
1,Lemon Grass Tea,Kisubi,african,beverage,Baganda,Lemongrass flavored tea,200g lemon grass|1 litre water|250 ml milk|sugar,lemon grass|water|milk|sugar,Clean the lemongrass thoroughly. Boil water in a pot. Tie the lemongrass into a bundle and dip it into the boiling water. Let it boil for 1 minute. Remove the lemongrass bundle or sieve it out. Add milk and sugar to taste. Remove from heat and serve hot.,Snack,,
2,African Basil Tea,Mujaja,african,beverage,Baganda,Herbal tea flavored with Mujaja leaves,200g mujaja leaves|1 litre water|250ml milk|sugar,mujaja leaves|water|milk|sugar,Pick and clean fresh Mujaja leaves with water. Boil water in a pot. Dip the clean Mujaja leaves into the boiling water. Boil for 1 minute. Remove from fire. Sieve to remove the leaves. Add milk and sugar to taste. Serve hot.,Serve with snacks like roasted groundnuts,"Alternatively add desired sugar, Can add milk and tea leaves",
3,Steamed Yams,Balugu,african,main,Baganda,Steamed yams cooked with skin on,4 medium sized Yams|water,yams|water,Wash the yams thoroughly to remove soil. Place yams in a steamer pot with water. Steam for 2 and 1/2 hours until tender. Remove from heat. Serve with tea and porridge.,,,
4,Matooke,Matooke,african,main,Baganda,Traditional Baganda steamed green bananas,Green bananas|Banana leaves|Water,green bananas|banana leaves|water,"Peel bananas. Fasten them in fresh banana leaves using banana fibres to make omuwumbo. Put the muwumbo in a big saucepan having banana leaves stalks (emizingonyo) and moderate water. Add more banana leaves to cover the muwumbo properly. Put the contents of the saucepan on fire for 1 hour. When ready, press to check softness.  ","Serve with groundnut sauce, meat stew, chicken stew, bean sauce, fish, pea sauces, and greens like Dodo, Nakati, Ebbuga, Ejobyo and Ensugga.","Matooke can also be prepared in Katogo form: get peeled bananas or whole fingers and boil them wholly. Then fry either offal, beans, or meat with onions and tomatoes, then mix together with boiled matooke and serve.",
5,Steamed Cassava,Muwogo,african,main,Baganda,Steamed cassava,Cassava|Banana leaves|Water,cassava|banana leaves|water,Peel cassava. Clean with water. Wrap in banana leaves and cook for 30-45 minutes.,"Serve with tea, matooke, groundnut sauce, bean sauce, or meat stew.",Cassava can also be prepared in Katogo form.,
6,Steamed Sweet Potatoes,Lumonde,african,main,Baganda,Steamed sweet potatoes,Sweet potatoes|Banana leaves|Water,sweet potatoes|banana leaves|water,Peel sweet potatoes. Clean with water. Wrap in banana leaves and cook for one hour.,"Serve with tea, matooke, groundnut sauce, bean sauce, or meat stew.",,
7,Steamed Pumpkin,Ensujju,african,side,Baganda,Steamed pumpkin,Pumpkin|Banana leaves|Water,pumpkin|banana leaves|water,Divide pumpkin into medium sizes. Wrap in banana leaves and cook for one hour.,"Serve with tea, matooke, groundnut sauce, bean sauce, or meat stew.",,
8,Fried Irish Potatoes,Obumode obuzungu,african,main,Baganda,Fried Irish potatoes with tomatoes and onions,Irish potatoes|Tomatoes|Onions|Salt|Water,irish potatoes|tomatoes|onions|salt|water,"Peel the potatoes and wash them. Fry onion and tomatoes in cooking oil. Add the potatoes and salt. Mix with the tomatoes and onions for 5-10 minutes. Add water. Cook until they are ready or soft, then serve.",Serve with any sauce.,,
9,Groundnut Sauce,Ebinyebwa,african,sauce,Baganda,Groundnut sauce,Groundnut flour or paste|Water|Salt|Onions,groundnut flour|water|salt|onions,Grind the groundnuts. Mix with moderate water. Add onions. Cook on fire until the sauce thickens and oil separates.,"Serve with matooke, cassava, or sweet potatoes.","Groundnuts with onions can also be put in a metallic saucepan with a fitting lid (box) and steamed together with the matooke. Groundnuts can also be prepared in Luwombo form: wrap in banana leaves, cover with banana leaves in a saucepan, and steam for 1 hour.",
10,Meat Stew,Enyama,african,sauce,Baganda,Meat stew,Meat|Tomatoes|Water|Salt|Onions,meat|tomatoes|water|salt|onions,"Place meat in a saucepan. Add salt. Put on fire and fry with its own fat. Add onion and tomatoes. Continue frying. When tending to dry, add enough water for sauce. Leave to boil until ready (1-2 hours), then serve.","Serve with matooke, cassava, or sweet potatoes.","Meat can also be put in a metallic saucepan with a fitting lid (box) with salt, onions, and tomatoes, then steamed together with the matooke. Meat can also be prepared in Luwombo form: wrap in banana leaves, cover with banana leaves in a saucepan, and steam for 1 hour.",
